step 0
step 1
0 1147.6813905286144 879.5058671804946
1 1027.7038019595284 971.3790716658947
10 1130.466727195406 953.4511248693105
11 884.1502691011164 861.4369657374841
12 806.8848635861729 947.6748085688595
13 1265.5022505255984 1264.951156031239
15 977.1294579117936 1060.0165317808203
16 676.4733224816714 784.7662065395413
17 1254.519175921175 1401.4596802940998
18 785.9825787120152 846.4621160449692
19 1256.9164548426438 1411.8059432391324
2 918.009980706 962.860426314656
20 631.0148219707983 1242.3993693066184
21 841.3652093265731 1247.0665684927997
22 1266.1603290496664 1182.0442442370668
23 1346.0050281761726 1294.8975291869708
24 878.7702750406102 1147.838699656212
25 828.477089441245 1374.0573521337308
